#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat May 08 17:52:14 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       LongDivisionCircuit_map.ncd
#OUTPUT FILE:      LongDivisionCircuit_pad.csv
#PART TYPE:        xc3s1500
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
U2,,,GND,,,,,,,,,,,,
U3,,,M1,,,,,,,,,,,,
U4,QUOTIENT<30>,IOB,IO_L10P_5/VRN_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U5,REMAINDER<11>,IOB,IO_L16P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U6,QUOTIENT<31>,IOB,IO,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,,,VCCO_5,,,5,,,,,2.50,,,,
U9,REMAINDER<13>,IOB,IO_L31N_5/D4,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U10,REMAINDER<19>,IOB,IO_L31N_4/INIT_B,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U11,,,VCCO_4,,,4,,,,,2.50,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,DIVISOR<0>,IOB,IO/VREF_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
U14,REMAINDER<25>,IOB,IO_L10P_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
U15,DIVISOR<5>,IOB,IO_L09N_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
U16,DIVISOR<9>,IOB,IO_L01N_4/VRP_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
U17,,,GND,,,,,,,,,,,,
U18,DIVISOR<13>,IOB,IO_L16P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,LOAD,IOB,IO_L01P_5/CS_B,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
V3,QUOTIENT<28>,IOB,IO_L01N_5/RDWR_B,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V4,REMAINDER<15>,IOB,IO_L10N_5/VRP_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V5,DIVIDEND<31>,IOB,IO_L16N_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
V6,,,GND,,,,,,,,,,,,
V7,DIVISOR<25>,IOB,IO_L29P_5/VREF_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
V8,REMAINDER<8>,IOB,IO_L29N_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V9,REMAINDER<12>,IOB,IO_L31P_5/D5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V10,REMAINDER<18>,IOB,IO_L31P_4/DOUT/BUSY,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V11,DIVISOR<21>,IOB,IO_L28P_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
V12,DIVISOR<3>,IOB,IO_L28N_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
V13,,,GND,,,,,,,,,,,,
V14,DIVISOR<1>,IOB,IO,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
V15,DIVISOR<4>,IOB,IO_L09P_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
V16,DIVISOR<17>,IOB,IO_L01P_4/VRN_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
V17,REMAINDER<28>,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
